repudiate	否认
retaliate	报复
conciliate	平息
humiliate	耻辱
palliate	平息
calumniate	诽谤
expiate	赎罪
excoriate	批评
appropriate	私自挪用
repatriate	遣返
striate	加条纹
infuriate	激怒
satiate	满足
initiate	创始
propitiate	抚慰
vitiate	削弱
substantiate	证实
potentiate	加强
negotiate	谈判
obviate	排除
alleviate	缓和
abbreviate	缩写
escalate	扩大
elate	开心
correlate	关联
conflate	混合
dilate	膨胀
vacillate	犹豫
oscillate	犹豫
scintillate	闪耀
extrapolate	推断
contemplate	沉思
slate	列入名单
perambulate	徒步穿越
discombobulate	混乱
maculate	玷污
immaculate	完美的
speculate	推测
matriculate	录取
articulate	清晰表达
adulate	奉承
coagulate	变稠
emulate	模仿
simulate	模仿
accumulate	增长
manipulate	操纵
stipulate	规定
insulate	隔离
capitulate	投降
recapitulate	概括
postulate	假设
expostulate	争论
amalgamate	合并
acclimate	适应
animate	有活力的
inanimate	无生命的
intimate	亲密的，暗示
consummate	专业的
alienate	疏远
concatenate	连接
designate	任命
deracinate	根除
vaccinate	接种疫苗
fascinate	使着迷
subordinate	下级的
insubordinate	不服从权威的
contaminate	污染
disseminate	传播
incrimiate	归罪于
discriminate	区分
culminate	高潮
fulminate	斥责
abominate	厌恶
germinate	发芽
exterminate	根除
illuminate	阐明
ruminate	反复思考
indoctrinate	教育
procrastinate	拖延
obstinate	固执的
dispassionate	客观公正的
resonate	重要
incarnate	具象化
inchoate	新生的
emancipate	解放
dissipate	浪费
inculpate	归罪于
exculpate	使无罪
spate	大量
exhilarate	兴奋
disparate	迥然不同
calibrate	标准化
adumbrate	预示
desecrate	玷污
execrate	痛恨
dehydrate	脱水
berate	斥责
deliberate	深思熟虑
reverberate	回响

