ingenious	聪明的
euphonious	悦耳的
ceremonious	讲究礼节的
acrimonious	刻薄的
parsimonious	吝啬的
sanctimonious	假装虔诚的
harmonious	和谐一致的
impecunious	贫穷的
pious	虔诚的
impious	不敬神的
copious	大量的
precarious	危险的，不确定的
vicarious	取代的
nefarious	极坏的
multifarious	多种多样的
gregarious	社交的
hilarious	好笑的
opprobrious	臭名昭著的
lugubrious	故作悲哀的
salubrious	有益健康的
imperious	傲慢的
deleterious	有害的
laborious	勤奋的
industrious	勤勉的
illustrious	杰出的
spurious	假的
luxurious	奢侈的
ostentatious	炫耀的
fractious	难以管束的
rambunctious	喧闹的
facetious	轻浮的
seditious	煽动性的
propitious	吉祥的
fictitious	虚构的
repetitious	重复的
adventitious	后天的
surreptitious	偷偷摸摸的
licentious	放荡的
tendentious	偏见的
conscientious	一丝不苟的
unpretentious	低调的，坦诚的
contentious	争议的
captious	吹毛求疵的
bumptious	傲慢的
obsequious	谄媚的
devious	狡猾的
oblivious	不知情的
impervious	不可渗透的
noxious	有毒的
scandalous	丢脸的
anomalous	不平常的
libelous	诽谤的
perilous	危险的
scurrilous	说粗话的
callous	冷漠的
frivolous	轻浮的
fabulous	幻想的
nebulous	模糊的
meticulous	谨慎的
credulous	易受骗的
sedulous	勤奋的
scrupulous	正直的
querulous	抱怨的
garrulous	啰嗦的
infamous	臭名昭著的
pusillanimous	懦弱的
unanimous	一致同意的
anonymous	匿名的
synonymous	同义的
diaphanous	模糊的
indigenous	本地的
ravenous	贪吃的
heinous	可憎的
ominous	凶兆的
luminous	杰出的
voluminous	大量的
numinous	神秘的
glutinous	胶状的
synchronous	同步的
monotonous	无聊的
pompous	浮夸的
barbarous	野蛮的
ludicrous	荒唐可笑的
ponderous	沉重的
vociferous	喧哗的
treacherous	背叛的
cantankerous	脾气不好的
onerous	费心的
obstreperous	任性的
prosperous	成功的，繁盛的
boisterous	喧闹的
preposterous	荒谬的
dexterous	动作灵活的
chivalrous	有风度的
decorous	得体的
indecorous	不得体的
malodorous	恶臭的
vigorous	精力旺盛的
dolorous	忧伤的
glamorous	迷人的
