cowardice	懦弱
edifice	大厦
splice	接合
rejoice	欢喜
avarice	贪婪
caprice	善变
entice	诱使
novice	新手
arrogance	傲慢
allegiance	忠诚
variance	不一致
lance	刺穿
surveillance	监视
penance	忏悔
countenance	容忍
appurtenance	附属物
provenance	起源
dissonance	不一致
forbearance	忍耐
entrance	进入权
remonstrance	抗议
malfeasance	非法行为
complaisance	讨好
obeisance	尊重
renaissance	复兴
puissance	权力
impuissance	无权
pittance	津贴
nuance	细微差异
abeyance	中止
decadence	衰落
credence	坚信
resurgence	复兴
prescience	预知
resilience	恢复能力
consilience	融合
somnolence	瞌睡
persistence	坚持
confluence	汇合
consequence	结果
evince	表明
province	职能范围
wince	畏缩
ensconce	隐藏
denounce	谴责
renounce	放弃
farce	闹剧
coerce	武力强制
acquiesce	默许
coalesce	融合
convalesce	渐渐康复
effervesce	兴奋
seduce	劝说
induce	引发
truce	休战
barricade	障碍物
cascade	大量
renegade	叛徒
accolade	同意，赞扬
abrade	磨损
masquerade	伪装
retrograde	退步
tirade	抨击
dissuade	劝阻
pervade	充满
cede	割让
accede	赞成
secede	脱离
concede	承认
impede	妨碍
supersede	取代
chide	责备
glide	轻松
backslide	倒退
bromide	陈词滥调
deride	嘲笑
override	推翻
subside	下沉
forebode	预示
decode	解码
implode	内爆
discommode	打扰
avant-garde	先锋派
preclude	预先阻止
elude	躲闪
allude	间接提到
collude	串通
denude	脱去
prude	过分正经的人
protrude	突出
solitude	孤独
magnitude	重要
turpitude	卑鄙
pulchritude	美丽
lassitude	乏力
vicissitude	自然变化
latitude	自由
platitude	陈词滥调
rectitude	正直
certitude	确信
