lacerate	使痛苦
macerate	浸泡使软化
moderate	缓和
proliferate	增殖
regenerate	重获新生
venerate	尊敬
incinerate	烧成灰烬
exonerate	免除责备
remunerate	支付报酬
temperate	有节制的，温和的
intemperate	无节制的，不温和的
exasperate	激怒
recuperate	康复
vituperate	谩骂
commiserate	同情
inveterate	根深蒂固的
reiterate	重申
obliterate	除去
adulterate	掺杂
grate	惹恼,刺耳声
emigrate	移民
denigrate	诋毁
irate	极其愤怒的
pirate	盗版
elaborate	详细的
corroborate	证实
perforate	打孔
invigorate	激励
ameliorate	改善
prate	闲聊
infiltrate	渗透
concentrate	浓缩，集中
demonstrate	表明
prostrate	平躺的，衰竭的
obdurate	固执的
indurate	冷酷的
inaugurate	开始
commensurate	同样大小的
incommensurate	不相称的
saturate	使饱和
sate	使满足
dictate	下令
resuscitate	使复活
meditate	沉思
premeditate	预先考虑
agitate	煽动
rehabilitate	使康复
debilitate	使衰弱
facilitate	促进
precipitate	匆忙的
irretate	惹恼
potentate	有权势的人
annotate	做注释
instate	任命
understate	轻描淡写
mutate	变异
evacuate	撤离
attenuate	降低数值
extenuate	减轻罪过
infatuate	使迷恋
accentuate	强调
excavate	挖空
aggravate	恶化
elevate	提升
recidivate	重新犯罪
cultivate	提升，种植
motivate	激发
captivate	吸引
renovate	修复
enervate	使衰弱
effete	衰弱的
obsolete	过时的
deplete	耗尽
replete	充满
accrete	逐渐增长
secrete	隐藏，分泌
concrete	明确的
descrete	离散的
excrete	排泄
incite	煽动
expedite	促进
recondite	深奥的
erudite	博学的
mite	微小的
ignite	激起
infinite	无尽的
respite	间歇
rite	仪式
sybarite	酒色之徒
trite	陈腐的
contrite	后悔悲痛的
requisite	必需品
prerequisite	前提
perquisite	额外好处
exquisite	精致的
apposite	相关的，合适的
requite	报答，报仇
svelte	（女人）苗条的
dilettante	业余的
