outset	开端
daft	不明智的
graft	移植
waft	漂浮
deft	灵巧的
rift	开裂
spendthrift	败家子
sift	审查
aloft	在空中
blight	枯萎
plight	困境
slight	不重要的
forthright	直率的
airtight	无瑕疵的
fraught	充满的
distraught	疯狂的
overwrought	十分激动的
bait	诱饵
tacit	暗示的
elicit	激起
implicit	不言而喻的
explicit	表达清晰的
credit	信任，赞扬
discredit	羞辱，怀疑
pundit	权威
counterfeit	假冒的
forfeit	罚金
surfeit	过量
discomfit	阻碍
flit	快速经过
summit	顶点
manumit	解放奴隶
knit	连接
exploit	开发
maladroit	笨拙的
decrepit	虚弱的
grit	毅力
posit	假定
deposit	沉积
bruit	散播（谣言）
wit	机智
outwit	以智取胜
exalt	赞扬
heartfelt	真心的
tilt	倾斜
wilt	憔悴
dolt	笨蛋
jolt	惊吓
molt	脱皮
revolt	厌恶
default	玩忽职守
occult	难理解的
tumult	暴动
exult	欢喜
recant	撤回
intoxicant	醉的
scant	不足的
pedant	墨守成规的人
ascendant	主宰的
abundant	大量的
redundant	冗余的
verdant	郁郁葱葱的
mordant	尖酸刻薄的
miscreant	罪犯
extravagant	挥霍的
penchant	嗜好
trenchant	一针见血的
disenchant	清醒
sycophant	马屁精
insouciant	无忧无虑的
valiant	英勇的
pliant	易弯曲的，顺从的
compliant	顺从的
nonchalant	冷漠的
jubilant	喜悦的
vigilant	警惕的
gallant	英勇的
supplant	排挤
slant	看法
petulant	易怒的
adamant	固执的
dormant	静止的
stagnant	停滞的
pregnant	重要的
malignant	恶毒的
poignant	伤感的
repugnant	厌恶的
dominant	支配的
remnant	残余物
resonant	洪亮的
consonant	和谐一致的
rampant	茂盛的
rant	斥责
protuberant	凸起的
exuberant	高兴的
preponderant	占优势的
itinerant	巡游的
aspirant	有野心的
warrant	认可
errant	误入歧途的
