piddling	微不足道的
grueling	费心思的
trifling	细微的
fledgling	新手
smuggling	走私
unavailing	徒劳的
inkling	提示
compelling	具说服力的
telling	有效的
sterling	优秀的
sling	投掷
dazzling	炫目的
teeming	大量的
overweening	傲慢的
cunning	狡猾的
overbearing	傲慢的
sparing	节约的
sweltering	酷热的
smattering	少量
jarring	刺耳的
hamstring	使无效
imposing	宏伟的
prepossessing	有魅力的
self-defeating	适得其反的
ingratiating	讨人喜欢的
self-perpetuating	持续的 
exacting	严苛的
fleeting	短暂的
riveting	吸引人的
wanting	不足的
everlasting	永恒的
arresting	吸引人的
earsplitting	震耳欲聋的
unremitting	连续的
unwitting	不知道的
misbehaving	调皮的
misgiving	担忧
taxing	繁重的
cloying	感情用事的
headlong	鲁莽的
prolong	拖延
throng	聚集
unsung	被埋没的
hangdog	伤心的
agog	感兴趣的
jog	唤起
clog	阻碍
humbug	骗子
lug	费力搬运
smug	自大的
shrug	轻视
pariah	被排斥者
breach	违背
preach	传教
stomach	容忍
poach	水煮
broach	讨论
reproach	耻辱
detach	分离
beseech	恳求
squelch	压制
drench	湿透
retrench	削减开支
stench	恶臭
quench	熄灭
inch	慢慢移动
flinch	退缩
staunch	忠诚的
monarch	帝王
parch	烤
besmirch	诽谤
scorch	烤
lurch	蹒跚
dispatch	迅速，发送
etch	铭记
glitch	小故障
stitch	剧痛
scotch	停止
notch	努力得到
crutch	支撑
slouch	慢慢走
retouch	改进
vouch	担保
inveigh	抗议
bash	抨击
abash	羞愧
slapdash	马虎的
balderdash	胡言乱语
rehash	重复
lash	撞击
mash	捣碎
rash	草率的
brash	鲁莽的
quash	镇压
awash	泛滥的
mesh	诱捕
snobbish	自大的
outlandish	古怪的
brandish	挥舞
prudish	守礼节的
