hardy	顽强的
jeopardy	危险
tardy	迟缓的
sturdy	强健的
gaudy	俗丽的
cagey	不愿说话的
off-key	不合适的
medley	大杂烩
motley	混杂的
purvey	供应
defy	蔑视
rarefy	使稀薄
pacify	使平静
calcify	僵化
deify	尊敬
qualify	限定
vilify	诽谤
mollify	平息
verify	校验
petrify	僵化
intensify	加强
ossify	僵化
ratify	认可
gratify	满足
stratify	分等级
sanctify	敬…为神
stultify	抑制
fortify	加固
justify	证明
stodgy	平庸的
elegy	哀歌
groggy	虚弱的
mangy	卑劣的
tangy	刺激的
dingy	昏暗的
stingy	吝啬的
terminology	术语
calligraphy	书法
demography	人口统计学
atrophy	衰退
apathy	不关心
antipathy	厌恶
pithy	精炼的
frothy	轻佻的
finicky	挑剔的
balky	倔强的
quirky	古怪的
murky	模糊的
husky	沙哑的
fluky	侥幸的
gawky	笨拙的
worldly	世俗的
timely	合适的
homely	朴素的
gadfly	刺激物
homily	道德讲演
wily	狡猾的
ally	盟友
dally	虚度时光
willy-nilly	无秩序的
bully	欺凌弱小
seemly	得体的
slovenly	邋遢的
ungainly	笨拙的
miserly	吝啬的
surly	脾气不好的
sly	狡猾的
measly	微不足道的
grisly	令人反感的
sprightly	活泼的
unruly	不守规矩的
seamy	肮脏的，隐蔽的
grimy	肮脏的
palmy	繁荣的
autonomy	政治独立
gloomy	忧郁的
dichotomy	对立
smarmy	虚情假意的
ignominy	耻辱
spiny	棘手的
canny	精明的
uncanny	离奇的
cacophony	刺耳声
felony	重罪
hegemony	霸权
testimony	证词
thorny	棘手的
puny	微小的
coy	内向的
alloy	合金
ploy	计策
deploy	展开，部署
annoy	烦扰
toy	草率对待
buoy	振作
scrappy	好斗的
sloppy	邋遢的
raspy	刺耳的
quandary	困境
dreary	乏味的
