aphorism	格言
favoritism	偏爱
truism	陈词滥调
altruism	利他主义
cronyism	对朋友偏袒
paroxysm	政治动荡
modicum	少量
compendium	摘要
odium	憎恶
premium	高端的
encomium	赞颂
pandemonium	喧嚣
equilibrium	均衡
delirium	发疯
moratorium	延期
effluvium	恶臭
asylum	收容所
interregnum	过渡期
humdrum	无聊的
conundrum	谜
spectrum	光谱，范围
tantrum	发怒
momentum	动力
pseudonym	笔名
paean	欢乐颂，赞扬
glean	收集
mean	卑贱的
protean	善变的
patrician	贵族
quotidian	平凡的
guardian	守卫
plebeian	平民的
stygian	阴暗的
bohemian	特立独行的人
draconian	残酷的
sectarian	狭隘的
egalitarian	平等主义的
stentorian	洪亮的
pedestrian	平庸的
antediluvian	过时的
clan	团体
pan	批评
deadpan	无趣的
veteran	老兵
diocesan	主教管辖区的
partisan	偏见者
charlatan	骗子
cosmopolitan	包容的
spartan	简洁的
gargantuan	巨大的
wan	苍白的
sodden	湿透
embolden	鼓励
beholden	欠人情
spleen	怒气
careen	蹒跚
screen	屏障
green	新手
preen	修饰
ken	视野
liken	比喻
hearken	倾听
crestfallen	垂头丧气
sullen	闷闷不乐
regimen	统治
acumen	洞察力
ripen	使成熟
dampen	抑制
barren	贫瘠的
moth-eaten	过时的
enlighten	启发
hearten	鼓舞
dishearten	打退堂鼓
hasten	促进
glisten	闪光
hard-bitten	顽强的
leaven	加入轻松的元素
haven	安全的地方
maven	专家
craven	懦弱的
doyen	有经验的
brazen	蛮横的
wizen	凋谢
cozen	诱骗
condign	应得的
deign	屈尊
feign	制造假象
reign	统治权
align	校准
malign	恶意的
benign	无害的
resign	辞职
consign	转交
impugn	抨击
disdain	拘留
bargain	讨价还价
constrain	限制
detain	拘留
pertain	有关联

