steadfast	坚定的，忠诚的
blast	爆炸，斥责
iconoclast	特立独行的人
manifest	显现
ingest	摄入
jest	戏谑
earnest	严肃的
crest	顶部
arrest	停止
wrest	辛苦获得
detest	厌恶
attest	证实
gist	要点
anarchist	反抗权威的人
list	倾斜
jingoist	极端爱国的人
exhaust	耗尽
robust	健壮的
gust	情感爆发
august	庄重的
oust	驱逐
boycott	联合抵制
juggernaut	无法抵挡的力量
taut	紧绷
debut	初次登台
glut	充满
clout	权力
flout	蔑视
pout	不悦
tout	赞扬
devout	忠诚的
strut	趾高气扬地走
plateau	高原
milieu	环境
purlieu	常去的地方
impromptu	即兴表演
flaw	缺点
withdraw	撤退
hew	遵守
eschew	避开
askew	歪的
slew	大量
sinew	活力
cow	威吓
shadow	尾随，遮蔽
foreshadow	预示
overshadow	超过
callow	不成熟的
fallow	休耕的
hallow	崇敬
winnow	筛选
row	争吵
crow	高兴
harrow	折磨
disavow	否认
lax	松弛
coax	哄骗
hoax	欺骗
wax	增大
annex	添加
vex	恼怒
affix	粘合
prolix	啰嗦的
paradox	悖论
orthodox	传统的
heterodox	异端的
influx	涌入
crux	中心
allay	减轻
downplay	轻描淡写
waylay	埋伏
dismay	失去勇气
defray	支付
array	排列
disarray	混乱
stray	漫无目的的
gainsay	否认
naysay	否认
lullaby	使安心
flabby	疲软的
delicacy	精致，兴奋
legacy	遗产
racy	活泼的
autocracy	独裁
illiterate	文盲
discrepancy	差异或矛盾
flippancy	轻率
complacency	自满
contingency	可能发生
deficiency	不足
expediency	应急办法
toady	马屁精
giddy	轻率的
muddy	浑浊的
needy	贫困的
perfidy	不忠的
subsidy	津贴
dandy	纨绔子弟
windy	冗长的
parody	模仿恶搞
