idle	空闲的
bridle	限制
kindle	点燃
dwindle	减少
swindle	欺骗
doodle	涂鸦
dawdle	拖拖拉拉
baffle	疑惑
waffle	胡扯
muffle	消音
ruffle	使粗糙
stifle	抑制
boggle	犹豫
goggle	凝视
inveigle	欺骗
mangle	搞砸
wrangle	争端
tangle	纠结
entangle	使纠结
mingle	混合
commingle	混合
bungle	搞砸
labile	不稳定的
facile	表面的
domicile	提供住处
reconcile	协调
fragile	易碎的
simile	明喻
rile	刺激
sterile	贫瘠的
puerile	幼稚的
volatile	多变的
versatile	多才多艺的
tactile	有触觉的
ductile	易受影响的
motile	能动的
futile	无效的
guile	狡诈
beguile	欺骗
vile	卑鄙的
servile	卑微的
shackle	束缚
ramshackle	摇摇欲坠的
tackle	处理
heckle	起哄
fickle	易变的
trickle	一滴一滴流
rankle	激怒
hyperbole	夸张
condole	同情
cajole	哄骗
rigmarole	混乱的话语
console	安慰
disciple	信徒
rumple	打乱
crumple	弄皱
supple	易弯曲的
scruple	良心不安
subtle	微妙的
dismantle	分解
disgruntle	激怒
startle	使吓一跳
bristle	咆哮
apostle	支持者
bustle	喧闹
rustle	快速行动
mettle	勇气
nettle	激怒
brittle	易碎的
mottle	标记杂色斑点
ridicule	嘲笑
minuscule	极小的
embezzle	盗用
guzzle	狂饮
inflame	加剧
tame	驯服
acme	顶点
sublime	崇高的
mime	模仿
wholesome	有益身体的
noisome	恶臭的
winsome	迷人的
cumbersome	笨拙的
lissome	柔软的
bane	有害物质
urbane	文雅的
hurricane	飓风
arcane	深奥的
mundane	平凡的
profane	亵渎
germane	适当的
inane	空洞的
wane	减少
serene	安静的
contravene	反对，违反
convene	召集
refine	改进
confine	限制
saturnine	忧郁的
pine	渴望


