exude	分泌
referee	仲裁者
carefree	无忧无虑的
repartee	打趣
vouchsafe	允诺
fail-safe	保险措施
gaffe	失礼
rife	丰富的
disengage	分开
persiflage	打趣
camouflage	伪装
homage	敬意
bandinage	打趣
rage	暴怒
disparage	贬低
umbrage	生气
mirage	海市蜃楼
forage	寻找
barrage	弹幕
sage	智者
presage	预兆
montage	大杂烩
sabotage	妨害
assuage	减轻
salvage	抢救
hedge	闪烁其词
abridge	缩短
dodge	躲避
hodgepodge	大杂烩
budge	屈服
nudge	说服
grudge	仇恨
trudge	吃力地走
sacrilege	亵渎
renege	放弃
beige	缺乏特征的
prestige	声望
vestige	小痕迹
bulge	凸起
divulge	泄露
estrange	使疏远
revenge	复仇
fringe	边缘
constringe	紧缩
singe	烧焦
tinge	上色
plunge	下降
surcharge	过高收费
discharge	解放
submerge	淹没
diverge	分歧
converge	汇集
forge	锻造，伪造
gorge	峡谷，狼吞虎咽
disgorge	呕吐
scourge	祸害
gauge	测量标准
subterfuge	诡计
deluge	大暴雨，大量
cache	囤货，隐藏
panache	炫耀
cliche	陈词滥调
pastiche	讽刺模仿
gauche	笨拙的
catastrophe	灾难
loathe	厌恶
lithe	轻盈的，柔软的
blithe	高兴的
soothe	安慰
hie	匆匆忙忙
rookie	新手
belie	掩饰
bonhomie	温和，和蔼
stymie	阻碍
camaraderie	友情
slack	满足
brake	刹车
forsake	抛弃
spike	激励
strike	攻击
stoke	增大
evoke	唤起
revoke	撤回
invoke	实施
convoke	召集开会
provoke	激怒
yoke	连接
bale	痛苦，悲哀
hale	强壮的
finale	结局
rationale	基本原理
chorale	合唱团
stale	陈旧的
imperturbable	沉着的
implacable	固执的
impeccable	无瑕疵的
irradicable	不可根除的
applicable	可行的
amicable	友善的
despicable	令人鄙视的
