coda	终曲
panacea	万能药
nostalgia	怀旧
mania	狂热
cornucopia	大量
euphoria	愉快
sequela	结果
anathema	讨厌的事物
enigma	谜
stigma	耻辱
coma	昏迷
charisma	魅力
nirvana	天堂
stamina	耐力
patina	外表
chimera	幻觉
plethora	过剩
bravura	优秀演技
quota	配额
drab	单调的
ad-lib	即兴的
glib	油腔滑调的
succumb	屈服
plumb	完全的
numb	麻木的
barb	批评
snub	轻视
archaic	过时的
mosaic	综合物
prosaic	单调的，常见的
acerbic	尖酸的
cherubic	可爱的
sporadic	断断续续的
encyclopedic	全面的
episodic	片段的
soporific	催眠的
lethargic	没精神的
synergic	合作的
chic	时髦的
hagiographic	谄媚的
monolithic	大一统的
diabolic	恶魔一般的
catholic	普遍的
vitriolic	刻薄的
panoramic	全景的
pandemic	大范围流行的
endemic	地方性的
polemic	争执
anemic	缺乏活力
arrhythmic	不规律的
mimic	模仿
anthropogenic	人为的
laconic	简洁的
histrionic	夸张的
chronic	复发的
tonic	滋补的
embryonic	萌芽阶段的
runic	神秘的
cynic	反社会的
stoic	冷静的
epic	宏大的
philanthropic	博爱的
misanthropic	反人类的
myopic	缺乏远见的
choleric	易怒的
mesmeric	着迷的
generic	普遍的
esoteric	深奥的
meteoric	短暂的
eccentric	出格的
panegyric	赞颂词
lyric	甜美的
intrinsic	内在的
dramatic	显著的
melodramatic	伤感的
pragmatic	实用主义的
phlegmatic	冷静的
dogmatic	武断的
axiomatic	公理的
diplomatic	计策的
chromatic	彩色的
monochromatic	单调的
somatic	肉体的
automatic	自发的
traumatic	痛苦的
fanatic	狂热的
bureaucratic	官僚主义的
erratic	善变的
static	静态的
didactic	说教的
eclectic	多元化的
apoplectic	极愤怒的
ascetic	自制的
prophetic	预言的
bathetic	平凡的
anesthetic	麻木的
hermetic	深奥的
peripatetic	巡游的
politic	明智的
antic	滑稽的
