raffish	低俗的
offish	冷淡的
sluggish	迟缓的
rakish	放荡的
puckish	淘气的
mawkish	伤感的
relish	喜好
ticklish	易怒的
churlish	粗鲁的
mulish	固执的
squeamish	恶心的
blemish	缺点
banish	驱逐
replenish	补充
diminish	变小
admonish	建议，责备
tarnish	玷污
varnish	粉饰
burnish	擦亮
clownish	滑稽的
garish	张扬的
perish	死亡
boorish	粗鲁的
flourish	繁荣
nourish	培养，促进
coltish	爱开玩笑的
skittish	胆小的，多变的
loutish	粗鲁的
languish	虚弱
extinguish	熄灭
cliquish	集团的
vanquish	打败
relinquish	放弃
lavish	挥霍
ravish	沉迷
dovish	爱好和平的
harsh	严厉的
gush	情感爆发
lush	多产的
flush	大量的
plush	奢华的
polymath	博学者
loath	不情愿的
zenish	巅峰
stealth	秘密的
labyrinthine	谜的
sloth	懒惰
dearth	供应不足
mirth	欢乐
uncouth	粗俗的
outgrowth	后果
alibi	借口
illuminati	智者
ennui	厌倦
cloak	隐藏
soak	湿透
hack	劈
slack	松弛的
knack	诀窍
quack	江湖郎中
bedeck	装点
check	阻止，一致
peck	大量的
speck	少量
nitpick	吹毛求疵
goldbrick	逃避
maverick	特立独行的人
deadlock	僵局
flock	聚集
interlock	连锁
stock	库存
buck	阻止
pluck	勇气
sleek	时髦的
meek	顺从的
balk	阻碍，拒绝
milk	榨取
sulk	愤怒
dank	潮湿的
lank	瘦弱的
shrink	减少
hoodwink	欺骗
debunk	拆穿
brook	容忍
crook	弯曲
debark	下船
embark	开始从事
hallmark	特征
irk	使烦恼
shirk	逃避
smirk	笑
patchwork	混合物
lurk	潜伏
brisk	有活力的
husk	剥去
methodical	有条理的
periodical	周期性的
pedagogical	教学的
pathological	病态的
hierachical	分等级的
