mongrel	杂种的
wastrel	败家子
sequel	结果
ravel	解开
revel	享乐
drivel	胡言乱语
novel	新奇的
grovel	卑躬屈膝
marvel	惊奇的事物
blackmail	勒索
rail	抨击
frail	虚弱的
assail	抨击
entail	牵连
curtail	截短
quail	畏缩
travail	辛苦劳动
countervail	抵消
nil	零
recoil	退缩
foil	挫败
turmoil	骚动
roil	激怒
cavil	吹毛求疵
daredevil	鲁莽的
windfall	幸运
pitfall	陷阱
gall	激怒
pall	失去兴趣
appall	使惊恐
enthrall	吸引
forestall	预先阻止
squall	尖叫
stonewall	阻绝合作
quell	压制
thrill	兴奋感
distill	蒸馏
instill	灌输
loll	偷懒
gull	欺骗
lull	闲暇，使平静
idyll	无忧无虑
gambol	欢呼雀跃
protocol	礼仪规范
extol	赞美
snarl	纠缠
caterwaul	嚎叫
resourceful	机智的
baleful	有害的
fateful	意义重大的
fanciful	不切实际的
willful	固执的
mournful	悲伤的
fretful	易怒的
fitful	断断续续的
wistful	渴望的
playful	爱开玩笑的
annul	宣告无效
scrawl	乱涂
drawl	慢慢地说
sprawl	蔓延
scowl	皱眉
prowl	徘徊
gleam	闪光
ream	训斥
sham	掩饰
epigram	短诗，警句
redeem	改过自新
esteem	尊重
stratagem	策略
paradigm	榜样
acclaim	称赞
proclaim	宣告
birm	边缘
interim	过渡期
verbatim	一字不差地
vim	活力
balm	香油
qualm	担忧
overwhelm	淹没
random	随机的
fathom	彻底理解
venom	恶毒
doom	注定倒霉
maelstrom	混乱
accustom	习惯
disarm	平息
affirm	确认属实
infirm	虚弱的
conform	协调
sarcasm	讽刺
chasm	分歧
syllogism	演绎
schism	分歧
sophism	诡辩
teetotalism	禁酒
euphemism	委婉说法
sectarianism	宗派主义
hedonism	享乐主义
anachronism	不合时宜
