fracas	争吵
ethics	道德
scads	许多
debris	废墟
hubris	狂妄自大
parenthesis	间断
synthesis	综合
symbiosis	共生关系
prognosis	预兆
synopsis	摘要
catharsis	情绪的宣泄
doldrums	低迷
kudos	名望
ethos	道德
apropos	相关的
jitters	紧张
encompass	包含，组成
surpass	超越
trespass	非法入侵
harass	烦扰
crass	粗俗的
embarrass	使尴尬
canvass	仔细检查，游说
groundless	没有依据的
featureless	缺乏特征的
ruthless	不怜悯的，残忍的
pitiless	不同情的
feckless	无成果的
reckless	不考虑后果的，鲁莽的
tactless	笨拙的
shiftless	懒惰的
relentless	残酷的，固执的
bootless	无用的
restless	不平静的
drollness	搞笑
harness	利用
regress	退化，恶化
digress	脱离主题
transgress	违背
repress	镇压
compress	压缩
suppress	镇压
buttress	提供支撑
obsess	迷住
assess	评估
prowess	英勇
bliss	极乐
remiss	疏忽的
emboss	装饰
gloss	简短解释
engross	全神贯注
syllabus	提纲
exodus	大批离去
bogus	伪造的
nonplus	使迷惑
animus	敌意
terminus	终点
viscous	粘的
tremendous	极大的
hideous	丑陋的
outrageous	过分的
extraneous	无关的
spontaneous	自发的
courteous	礼貌的
analogous	相似的
amorphous	不定形的
dubious	怀疑的
efficacious	有效的
perspicacious	有洞察力的
mendacious	虚假的
audacious	愚勇的
fallacious	谬误的
contumacious	倔强的
tenacious	顽固的
pertinatious	顽固的
rapacious	贪婪的
veracious	诚实的
voracious	贪吃的
loquacious	话多的
vivacious	活泼的
specious	欺骗性的，似是而非的
judicious	明智的
officious	多管闲事的
malicious	恶意的
pernicious	有害的
auspicious	好兆头的
meretricious	俗气的
vicious	凶恶的
precocious	早熟的
ferocious	激烈的
atrocious	极坏的
tedious	冗乏味长的
fastidious	挑剔的
invidious	令人反感的
commodious	宽敞舒适的
contagious	传染的
prodigious	巨大的，惊人的
supercilious	高傲的
punctilious	一丝不苟的
abstemious	节俭的
