inimical	敌意的
ecumenical	普遍的
empirical	基于实验的
categorical	绝对的
rhetorical	言辞华丽的
threatrical	浮夸的
asymmetrical	不对称的
whimsical	反复无常的
commonsensical	符合常识的
metaphysical	哲学上的
antithetical	完全相反的
heretical	异教的
hypocritical	虚伪的
elliptical	含糊不清的
nautical	航海的
univocal	含义明确的
soft-pedal	降低力度
conceal	隐藏
ordeal	严峻考验
congeal	凝固
repeal	撤销
appeal	申请
ethereal	精致的，精神上的
corporeal	肉体的
zeal	热心
prodigal	败家子
frugal	节约的
apocryphal	假的
lethal	致命的
glacial	冷漠的
superficial	肤浅的
provincial	狭隘的
crucial	关键的
cordial	热情的
primordial	原始的
parochial	狭隘的
genial	和蔼的
congenial	和蔼的
menial	卑贱的
venial	宽恕的
imperial	巨大的
immaterial	无关的
immemorial	古老的
sartorial	裁缝的
mercurial	善变的
ambrosial	香的
palatial	奢华的
substantial	物质的
providential	幸运的
torrential	激流的
inconsequential	不重要的
partial	部分的
trivial	不重要的
jovial	愉快的
abysmal	很深的
cataclysmal	灾难性的
banal	陈腐的
phenomenal	不寻常的
venal	贪污的
signal	非同寻常的
cardinal	主要的
original	原创的
marginal	不重要的
seminal	创新的
subliminal	下意识的
nominal	不重要的
provisional	临时的
rational	合理的
conditional	有条件的
exceptional	例外的
carnal	肉体的
eternal	永恒的
diurnal	白天行动的
nocturnal	夜间的
shoal	浅的
liberal	思想前卫的
principal	主要的
feral	野生的
peripheral	辅助的
ephemeral	短暂的
integral	完整的
sepulchral	阴沉的
temporal	世俗的
preternatural	超乎寻常的
rehearsal	彩排
colossal	巨大的
accidental	意外的
pivotal	关键的
distal	末梢的
residual	剩余的
perpetual	永恒的
coeval	同龄的
avowal	承认
peel	脱去
reel	眩晕
genteel	有教养的
yokel	乡下人
enamel	装饰
channel	投入
repel	厌恶
