inquisive	过分好奇的
intuitive	直觉的
substantive	本质的
incentive	刺激
retentive	好记性的
plaintive	悲伤的
perceptive	敏锐的
assertive	自信的
furtive	鬼鬼祟祟的
restive	急躁的
diminutive	极小的
revive	复活
salve	减轻
delve	探究
absolve	使无罪
dissolve	溶解
behoove	有利
groove	享受
reprove	警告
disprove	反驳
nerve	勇气
verve	活力
swerve	改变方向
awe	敬畏
faze	打扰
glaze	妆点
raze	摧毁
ostracize	驱逐
aggrandize	增加
eulogize	称赞
demoralize	使士气低落
neutralize	使无效
tantalize	刺激
fertilize	使肥沃
monopolize	垄断
minimize	减到最少
victimize	使受骗
epitomize	代表
galvanize	刺激
homogenize	统一
scrutinize	仔细检查
agonize	痛苦
antagonize	敌对
lionize	追捧
canonize	使神圣
patronize	赞助
plagiarize	剽窃
polarize	对立
particularize	详细说明
pulverize	摧毁
satirize	讽刺
valorize	赞美
vaporize	消灭
temporize	回避
extemporize	即兴表现
idolatrize	盲目崇拜
stigmatize	诋毁
proselytize	改变信仰
doze	小憩
catalyze	催化剂
oaf	笨蛋
chaff	开玩笑
quaff	喝
miff	惹怒
tiff	争吵
stiff	僵硬的
scoff	嘲笑
doff	脱下
rebuff	拒绝
scuff	磨损
bluff	直率的，欺骗
aloof	高冷的
spoof	恶搞
reproof	批评
foolproof	简单的
windbag	健谈的人
gag	笑话
lag	缓慢行走
flag	衰弱
snag	障碍
wag	摆动
bracing	振奋的
padding	夸张的
plodding	无聊的
abiding	持久的
demanding	严苛的
condescending	高人一等的
impending	即将发生的
heartrending	心碎的
astounding	吃惊的
unflagging	不懈的
obliging	乐于助人的
bewitching	迷人的
dashing	大胆的
refreshing	振奋的
scathing	尖酸的
painstaking	煞费苦心的
appealing	吸引人的
cling	紧贴，支持
