pretense	伪装
verbose	冗长的
metamorphose	变形
grandiose	浮夸的
lachrymose	悲伤的
footloose	自由的
depose	宣誓，罢免
repose	休息
compose	镇定，组成
discompose	使不安
dispose	倾向于，销毁
morose	忧郁的
lapse	小错误
relapse	再犯
collapse	失败
eclipse	下降
coarse	粗糙的
sparse	稀疏的
terse	简洁的
verse	精通
averse	反对的
traverse	横穿
endorse	推崇
remorse	懊悔
largesse	慷慨
finesse	娴熟技巧，避开
applause	鼓掌
abuse	辱骂
disabuse	纠正
defuse	抚慰，减轻
diffuse	啰嗦的，扩散
suffuse	色彩弥漫
infuse	灌输
recluse	隐士
douse	熄灭
espouse	支持，拥护
rouse	激起
carouse	畅饮
ruse	诡计
peruse	细读
abstruse	难理解的
obtuse	愚钝的
abate	减轻，减少
reprobate	堕落的
exacerbate	恶化
incubate	孵化，促进
placate	平息，抚慰
desiccate	使缺乏活力
