turgid	浮夸的
squalid	肮脏的
pallid	苍白的
solid	有理有据的
stolid	无动于衷的
timid	胆小的
paranoid	多疑的
vapid	无趣的
intrepid	大胆的
tepid	不热心的
insipid	平淡的
limpid	清澈的
torpid	麻木的
arid	无聊的，干燥的
hybrid	杂交的
acrid	刻薄的
florid	辞藻华丽的
torrid	酷热的
lurid	恐怖的
fetid	恶臭的
languid	虚弱的
avid	渴望的
fervid	酷热的
piebald	混合的
ribald	下流的
herald	预示
gild	篡改
chokehold	压制
withhold	抑制
uphold	支持
untold	数不清的
husband	节俭
offhand	即兴的
bland	无趣的
countermand	取消
strand	遗弃
grandstand	哗众取宠
descend	下降
transcend	超越
reprehend	谴责
comprehend	理解
commend	赞扬
suspend	暂停
rend	撕裂
contend	竞争，声明
distend	膨胀
rescind	废除
abscond	偷偷离开
moribund	即将过时的
fecund	多产的
rubicund	红润的
jocund	欢快的
bound	界限
hidebound	死板的
confound	困惑
compound	混合物
foreground	强调
sound	牢固的
slipshod	粗心的
falsehood	谎言
prod	促进
disregard	漠视
sluggard	懒人
diehard	顽固的
dullard	笨蛋
canard	谣言
aboveboard	光明正大的
hoard	贮藏
retard	延迟
safeguard	保护
awkward	笨拙的
untoward	倒霉的
wayward	刚愎自用的
haphazard	无秩序的
undergird	加强
accord	一致
concord	一致
discord	不一致
chord	一致
foreword	前言
absurd	不合理的
shroud	遮蔽
shrewd	精明的
minutiae	小事
imbibe	喝水
gibe	嘲弄
jibe	一致
bribe	贿赂
circumscribe	限制
proscribe	禁止，排斥
diatribe	抨击
xenophobe	仇视外国者
probe	深入调查
preface	序言
efface	擦除
solace	安慰
commonplace	常见的事物
menace	威胁
embrace	接受
jaundice	偏见
