decipher	破译
usher	开启
weather	安全度过危机
tether	束缚
bellwether	带头人
wither	枯萎
smother	抑制
cavalier	彬彬有礼的
hanker	渴望
tinker	乱修整
stickler	一丝不苟的人
gossamer	虚无缥缈的东西
hammer	重申
stammer	口吃
retainer	家仆
practitioner	职业人士
taper	逐渐减少
damper	抑制因素
hamper	阻碍
tamper	篡改，损害
dapper	衣冠整洁的
deter	威吓
teeter	蹒跚
perimeter	边界
reconnoiter	侦察
falter	蹒跚
palter	欺骗
welter	混乱
filter	过滤
kilter	平衡
banter	幽默
inter	埋葬
pointer	建议
disinter	掘出
saunter	闲逛
barter	以物换物
fester	感染
sequester	隔绝，分离
bolster	支撑
foster	促进，培养
filibuster	拖延议事
bluster	狂妄地说
cluster	一群人
fluster	使慌乱
lackluster	黯淡无光泽的
flatter	奉承
fetter	束缚
splutter	急切而不清楚地说
mutter	抱怨
beleaguer	围攻
aver	声称为真
palaver	交流
pushover	易如反掌的事
maneuver	巧妙操纵
outmaneuver	以策略取胜
cower	畏缩
glower	怒视
soothsayer	预言家
debonair	无忧无虑的，有风度的
nadir	最低点
belabor	严厉批评
harbor	牢记
succor	救援
rancor	敌意
candor	坦白
vendor	小贩
ardor	狂热
abhor	深恶痛绝
metaphor	暗喻
anterior	前面的
clamor	喧哗
humor	迎合
donor	捐赠人
torpor	缺乏兴趣，懒散
stupor	迟钝
furor	狂怒
censor	审查
precursor	先驱，先导
predecessor	前辈
intercessor	调停者
spectator	观众
mentor	指导
impostor	冒充者
languor	懒惰
endeavor	努力
concur	同意，同时发生，团结合作
grandeur	宏伟
poseur	故作姿态的人
connoisseur	鉴赏家
hauteur	傲慢
augur	预言家
blur	模糊
slur	耻辱，疏忽
demur	反对
murmur	抱怨
scour	搜查
dour	严厉的
misdemeanour	轻罪
detour	偏离正常标准
spur	刺激
